epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1054.17,0.89195,0.5683,0.95675,0.874,0.85294,0.91178,0.53309,1.39587,0.92365,1.41023,0.0011684,0.0011684,0.0011684
44,1077.95,0.88898,0.55914,0.96276,0.89626,0.85294,0.92535,0.57195,1.39086,0.82569,1.38603,0.0011486,0.0011486,0.0011486
45,1101.63,0.86302,0.55312,0.96192,0.84953,0.85294,0.88588,0.54462,1.44649,0.86173,1.41171,0.0011288,0.0011288,0.0011288
46,1125.67,0.86316,0.5539,0.94162,0.9012,0.8051,0.89568,0.52821,1.41118,0.85625,1.45688,0.001109,0.001109,0.001109
47,1150.37,0.82545,0.54345,0.9439,0.92594,0.79412,0.87282,0.55532,1.41485,0.87834,1.37094,0.0010892,0.0010892,0.0010892
48,1174.69,0.86386,0.55681,0.94342,0.94226,0.73529,0.88528,0.55015,1.44128,0.92485,1.40827,0.0010694,0.0010694,0.0010694
49,1199.06,0.89968,0.55619,0.94918,0.80154,0.85294,0.88576,0.57532,1.43484,0.92029,1.37151,0.0010496,0.0010496,0.0010496
50,1223.72,0.87596,0.55946,0.94318,0.87816,0.85294,0.88021,0.56471,1.4906,0.99476,1.38754,0.0010298,0.0010298,0.0010298
51,1248.45,0.81043,0.54322,0.95057,0.96189,0.79412,0.89453,0.57641,1.50036,0.89666,1.36395,0.00101,0.00101,0.00101
52,1273.22,0.84893,0.54471,0.93498,0.96408,0.78952,0.88801,0.5466,1.51156,0.83993,1.46373,0.0009902,0.0009902,0.0009902
53,1297.54,0.84064,0.52922,0.93406,0.9664,0.84614,0.90906,0.57261,1.47991,0.75143,1.42997,0.0009704,0.0009704,0.0009704
54,1323.53,0.80251,0.50223,0.92653,0.88038,0.86607,0.92494,0.57957,1.4696,0.77263,1.40952,0.0009506,0.0009506,0.0009506
55,1349.26,0.85844,0.52378,0.93652,0.88215,0.88067,0.92294,0.58512,1.42794,0.77207,1.35884,0.0009308,0.0009308,0.0009308
56,1373.92,0.78663,0.49022,0.92683,0.88173,0.87721,0.89233,0.56852,1.34839,0.85128,1.34047,0.000911,0.000911,0.000911
57,1399.62,0.81526,0.49964,0.9255,0.85637,0.87695,0.89715,0.56461,1.36392,0.89279,1.33161,0.0008912,0.0008912,0.0008912
58,1429.02,0.82176,0.50953,0.95555,0.81505,0.82353,0.87763,0.57345,1.39118,0.94511,1.34085,0.0008714,0.0008714,0.0008714
59,1454.76,0.81012,0.52554,0.93172,0.84311,0.79036,0.87835,0.55301,1.47386,1.04217,1.4076,0.0008516,0.0008516,0.0008516
60,1479.7,0.78595,0.49527,0.93905,0.8692,0.85294,0.9045,0.57088,1.41109,0.82603,1.31842,0.0008318,0.0008318,0.0008318
61,1505.23,0.75546,0.48952,0.92817,0.9021,0.85294,0.91916,0.57644,1.46142,0.79465,1.36025,0.000812,0.000812,0.000812
62,1530.7,0.80379,0.49388,0.9309,0.9085,0.82353,0.91275,0.58211,1.45952,0.75248,1.39136,0.0007922,0.0007922,0.0007922
63,1555.14,0.75341,0.49557,0.90824,0.93083,0.79167,0.89671,0.5782,1.51064,0.91975,1.39735,0.0007724,0.0007724,0.0007724
64,1580.78,0.73741,0.48922,0.90861,0.89661,0.82353,0.89057,0.56707,1.50583,0.88957,1.38983,0.0007526,0.0007526,0.0007526
65,1606.01,0.73642,0.47342,0.91653,0.94664,0.76471,0.89196,0.57399,1.47349,0.85613,1.39128,0.0007328,0.0007328,0.0007328
66,1631.33,0.73396,0.46991,0.91315,0.84978,0.85294,0.88994,0.53492,1.56347,0.88214,1.48469,0.000713,0.000713,0.000713
67,1656.5,0.7508,0.46742,0.89548,0.90314,0.82275,0.88829,0.54777,1.51801,0.84052,1.43097,0.0006932,0.0006932,0.0006932
68,1682.22,0.75044,0.48054,0.90576,0.86056,0.90766,0.90863,0.57474,1.4349,0.77345,1.40247,0.0006734,0.0006734,0.0006734
69,1707.56,0.77371,0.49292,0.92006,0.87854,0.85103,0.91568,0.55198,1.40857,0.78556,1.41035,0.0006536,0.0006536,0.0006536
70,1732.94,0.75079,0.46062,0.89603,0.86856,0.82353,0.91002,0.59867,1.36596,0.80107,1.31396,0.0006338,0.0006338,0.0006338
